,Unnamed: 0,Abs.,Abs..1,Abs..2,Abs..3,% ver,% ver.1,% ver.2,% ver.3,%
0,Centros residenciales,208.0,86.99999999999999,91.00000000000001,126.00000000000003,1.4585232452142205,0.5934515688949514,0.6054960409874239,0.8057811600690681,38.46153846153847
1,Servicios de respiro y apoyo,122.0,92.0,92.0,122.0,0.8554799803660332,0.6275579809004085,0.6121498436356373,0.780200805781161,32.608695652173914
2,Centros de día asistenciales,4413.999999999999,4463.999999999998,4452.0,4529.0,30.951546174882537,30.450204638471984,29.622729389846274,28.96335614248261,1.729559748427673
3,Comedores,558.0,658.0000000000001,763.0,896.0,3.912769090526611,4.48840381991814,5.076851420586862,5.72999936049115,17.431192660550458
4,Otros centros no residenciales,138.0,155.0,179.0,173.99999999999997,0.9676740761517425,1.0572987721691665,1.1910306740302075,1.112745411523951,-2.793296089385491
5,TOTAL PERSONAS MAYORES,5439.999999999997,5456.0,5576.999999999999,5846.999999999999,38.145992567141136,37.21691678035466,37.1082573690864,37.392082880347935,4.8413125336202265
6,Centros residenciales,19.0,14.0,8.0,9.0,0.13323048874552976,0.09549795361527956,0.053230421185707595,0.05755579714779057,12.5
7,Servicio de respiro y apoyo,,,,,0.0,0.0,0.0,0.0,
8,Centros de día,2150.0,2106.0,2187.9999999999995,2212.0,15.076081621204684,14.365620736698482,14.558520194291024,14.145935921212526,1.096892138939692
9,Centros de recuperación y atención,820.9999999999999,765.0000000000001,778.0,805.0,5.756959540004206,5.218281036834919,5.176658460310064,5.148046300441267,3.470437017994859
10,Centros de día y ocupacionales,2755.000000000001,2803.0,2955.0,2926.000000000001,19.318420868101825,19.120054570259185,19.66198682547074,18.71202916160392,-0.981387478849377
11,Centros de inserción laboral,1057.0,1368.0000000000002,1183.0,1138.0,7.41182245284342,9.331514324693032,7.87144853283651,7.277610794909519,-3.8038884192730347
12,TOTAL DISCAPACIDAD/ENFERMEDAD,6801.999999999997,7056.000000000004,7112.000000000003,7090.000000000001,47.69651497089964,48.13096862210092,47.32184443409407,45.34117797531502,-0.3093363329584057
13,Centros residenciales menores/familia,,4.0,4.0,4.0,0.0,0.027285129604365584,0.026615210592853798,0.02558035428790692,
14,Atención diurna para menores/familia,324.0,364.00000000000006,427.0,538.0,2.271930439660613,2.482946793997269,2.8411737307871427,3.440557651723481,25.995316159250585
15,TOTAL MENORES/FAMILIAS,324.0,367.99999999999994,430.99999999999994,542.0,2.271930439660613,2.5102319236016335,2.867788941379996,3.4661380060113878,25.754060324826
16,Alojamiento y centros residenciales,25.0,23.0,23.0,22.0,0.17530327466517076,0.15688949522510212,0.15303746090890932,0.14069194858348805,-4.3478260869565215
17,Centros de día,1197.0000000000005,1114.0000000000002,1233.0000000000002,1328.0,8.393520790968378,7.598908594815818,8.204138665247186,8.492677623585097,7.7047850770478306
18,Comedores sociales,473.0,642.9999999999999,653.0,808.0,3.3167379566650306,4.386084583901767,4.344933129283382,5.167231566157198,23.736600306278714
19,TOTAL EXCLUSIÓN,1694.9999999999998,1779.9999999999995,1908.9999999999998,2157.9999999999995,11.885562022298576,12.141882673942684,12.702109255439472,13.80060113832578,13.043478260869554
20,TOTAL,14261.0,14660.000000000018,15029.000000000011,15636.99999999998,100.0,100.0,100.0,100.0,4.045512010113572
21,"Fuente: OEE DIJPS. Estadística de Servicios Sociales y Acción Social y Estadística de Gasto en Acción e Inserción Social
NOTA: Ver precisiones en el Anexo de Conceptos y Definiciones respecto a los servicios de respiro y apoyo",,,,,,,,,
