,Unnamed: 0,Plazas residenciales,Plazas residenciales.1,Plazas residenciales.2,Plazas residenciales.3,Plazas residenciales.4,Plazas residenciales.5,Plazas residenciales.6,Plazas residenciales.7,Plazas residenciales.8
0,,Abs.,Abs.,Abs.,Abs.,% ver.,% ver.,% ver.,% ver.,%
1,Centros residenciales,20382.000000000015,20456.999999999996,20636.00000000002,20931,73.66632933352616,72.41928632115547,71.05815915429918,69.68637634838191,1.4295406086449969
2,Servicios de respiro y apoyo,18,18,18,18,0.06505710568165392,0.06372132540356841,0.06198133673082885,0.05992808629644424,0
3,TOTAL PERSONAS MAYORES,20400.00000000001,20474.999999999993,20654.000000000007,20948.999999999993,73.73138643920781,72.48300764655903,71.12014049102997,69.74630443467834,1.4282947613052452
4,Centros residenciales,2699.999999999999,2710.999999999999,2717.9999999999995,2860.999999999999,9.758565852248084,9.597139620504104,9.359181846355154,9.525236383007051,5.261221486387034
5,Servicios de respiro y apoyo,44,44,44,45,0.159028480555154,0.15576323987538943,0.15150993423091497,0.14982021574111062,2.272727272727273
6,TOTAL DISCAPACIDAD/ENFERMEDAD,2743.999999999999,2754.9999999999986,2761.999999999999,2905.9999999999986,9.917594332803239,9.752902860379493,9.510691780586066,9.67505659874816,5.213613323678479
7,Centros residenciales,1047,1184,1562,1621.0000000000005,3.784154980482869,4.191447182101388,5.378602665197481,5.396857104807564,3.7772087067862
8,TOTAL MENORES/FAMILIAS,1047,1184,1562,1621.0000000000005,3.784154980482869,4.191447182101388,5.378602665197481,5.396857104807564,3.7772087067862
9,Alojamiento/centros residenciales (no víctimas de violencia),183,206.99999999999997,185,216.00000000000006,0.6614139077634814,0.7327952421410365,0.6370304052890743,0.7191370355573311,16.75675675675679
10,Alojamiento/centros residenciales (víctimas de violencia),250.00000000000003,248,248,267.00000000000006,0.9035709122451934,0.8779382611158314,0.8539650838469751,0.8889332800639231,7.661290322580667
11,TOTAL MUJERES,433,454.99999999999994,433.0000000000001,483,1.5649848200086747,1.6107335032568677,1.4909954891360497,1.6080703156212537,11.547344110854475
12,Alojamiento/centros residenciales,2465,2797.9999999999986,3061.9999999999986,3414.9999999999973,8.909209194737604,9.90512602662135,10.543714059433212,11.369689705686497,11.528412802090097
13,Centros de acogida nocturna,579,581.0000000000001,568,661.9999999999998,2.0926702327598674,2.0567827810818473,1.9558555146172658,2.2040218404581156,16.54929577464785
14,TOTAL EXCLUSIÓN,3043.9999999999995,3379.000000000001,3630.0000000000023,4076.9999999999977,11.001879427497471,11.961908807703205,12.499569574050492,13.573711546144615,12.314049586776726
15,TOTAL,27667.999999999993,28247.999999999996,29040.999999999993,30036.00000000001,100,100,100,100,3.426190558176435
16,"Fuente: OEE DIJPS. Estadística de Servicios Sociales y Acción Social y Estadística de Gasto en Acción e Inserción Social
NOTA: Ver precisiones en el Anexo de Conceptos y Definiciones respecto a los servicios de respiro y apoyo",,,,,,,,,
